sentiment,selected_text
sadness,love
worry,"I think  has found it (http://bit.ly/3pj876 , but I can`t play it"
neutral,
worry,chillen just started on twitter.
neutral,
neutral,"I agree - they will start - and I forgot, all that news is HT"
neutral,did you find the Colossus yet?
worry,dedicating the next 2 hours to cleaning the house
worry,troubles
worry,
sadness,They are awesome. Too late though.
sadness,
fear,Gut wrenching pain. Please don't let it be true 
neutral,but at least im getting it for free  ill miss my sk though
neutral,Why don`t you ship it to Japan?
worry,
fear,"Now Mr Rifkind has written to the BSC chairman , Sir Robert Scholey , asking for further assurances after meeting anxious union leaders . "
worry,Canada cannot see the VH1 preview of the video
worry,No but this is our poor week
neutral,Battles
fear,"@Rob0807 I mean, even Archie Manning said complimentary things about us! #gohogs"
anger,I walked in on a teenage patient of mine (I work in a hospital) as he was going through my office drawers and he had removed money from my purse.
worry,yes - it has put a damper on us 'getting to know' Georgetown! Instead he is watching tv and I am catching up on invoices.
sadness,my parents sold my car.
neutral,great
anger,"Mexico , too , was miffed because the Telmex telephone company can not gain entry to the American marketplace ."
anger,I was once this week angry when soemone trying to compress my mind due to his nonsense speech which himself could not tolerate at all.
sadness,"Katherine could feel his anguish , and for the second time that day the tears slid down her cheeks . "
neutral,_dave meany
worry,
neutral,
worry,Had a little fight with My Best Friend   What should I Do?!?
anger,Insulted by some stupid people.
sadness," I'm really sorry , Ethan . I tried so hard , but I'm afraid I couldn't find a Dutch restaurant in town . The best I could do was a German one about 15 minutes from here . "
neutral,
worry,
sadness,stupid
neutral,poor
worry,food
neutral,
worry,"Gotta drop off some car parts for a buddy to press out, then to the dentist!    http://yfrog.com/0a7v3j"
sadness,"My pleasure  I really enjoy your random word poetry, and am disappointed when I miss out on participating!"
neutral,I couldn`t get back to sleep after cause thinking of Joe on cruise
worry,
neutral, I will . 
sadness,U cud BELIEVE that!?
sadness,Like we can afford this???
sadness,u ever have a friend that u just wonder why are we friends? i know what you get from me but i`m questioning what i`m getting from u.
sadness,I was alone at home on New Year's Eve.
worry,I miss my cousin so much
worry,To eat or not to eat? Its gonna be my last meal for the next 2 weeks.
sadness,The girl I was seeing didn't want to have a serious relationship. 
neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
anger,"My brother told me that a person (whom I know) had insulted him.  I am very fond of my brother, and as he himself can not get angry or hurt, my protectiveness was aroused and I got angry."
neutral, Why not ? 
neutral,
neutral,It`s not easy for me but I try to make out
sadness,we mourn forever  ****!
sadness,Great
sadness,When a friend left me and went back home for good.
sadness,not a fun day
anger, But you should have told me you were in love with her . 
neutral,
neutral,I`ll take a look tomorrow - definitely want to graph as many tweets as possible!
neutral,So long as they hold your wine without tipping.
fear,Joe Rogan is back at it Factor
sadness,I felt very sad when I heard that a friend had committed suicide.
neutral, Why not ? 
fear,"I was visiting my parents in law when the house was invaded by three strange men, and they committed an armed assault."
sadness,
worry,
sadness,A few months a close relative of mine died.  I had never expected this to happen and was sad for a few months.
neutral,she will
neutral,
neutral,
neutral, Dark blue . 
sadness, I don ’ t have one time in particular . I just go to sleep whenever I feel tired . 
sadness,The death of a friend.
worry,and i got hello kitty tattoos!  she`s a ballerina and i`m a ladybug
worry,Unfortunately
neutral, Bye . 
anger,stuffed
fear,"When we were going to Nkhoma last Saturday the vehicle was moving very fast, so I feared we might crash since the road was too rough."
neutral,BUZZ KEEP MAKING FUN OF ME
fear,On May 20th I got a summon to appear in court on May 28th 1985 on the subject of impregnanting a school girl. I really feared of standing in the court in a few days time after this notice. I was also embarassed due to formal approach that was expected of me to the Principal.
worry,terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!
worry,nervous
neutral,beautiful
neutral,unavailable
neutral,
neutral,appreciate
neutral,
neutral,i hate
neutral,"Where`d the songs go on the site, I want 'Do You' on this computer too"
sadness,
sadness,cant find my hoodie
neutral,
neutral,I am now cleaning
boredom,miss
worry,Where is Teng?
sadness,
worry,fun..
worry,Can`t find any pictures  !!!
neutral,
sadness,'i dont like this'
worry,Don`t worry
sadness,
sadness,"im disgusted as well and baron, spelling lessons homie!! haha it`s 'effort' and 'team' r u shwasty? shloshed?  i love you"
worry,Good!
worry,
neutral, Yes . 
worry,Surgery.
fear,"Then she was silent , staring at him with horrified eyes . "
sadness,- I used to have NKOTB sleeping bag too!!  I don`t know where it is now
sadness,wanna
anger,When the person I'm having the affair with won't talk to me in public.
anger,
sadness, I couldn't . I was bound and gagged . 
neutral, Yes . 
neutral,
fear, I am happy that you like the house . We should write down what we like so that we can remember it . 
neutral,.just don`t start cats on fire..
sadness,Cutie
sadness,I've just been a little depressed lately . 
worry,Happy its the weekend...LOVE has knocked me down ya`ll!!!
sadness,When I heard the news of my grandfather's sudden death.
fear,Her brightness was forced and she was clearly nervous at what might be about to happen . 
worry,Searching my home for a few things to cook them for dinner this evening. It`s mothers day so guess who im eating with
fear,"The day before the university results came out I was both excited and scared.  If I failed I did not know what I would do as I did not want to work, my family was ambivalent."
neutral,waiting on food.
worry,d lost
neutral," Oh , that's new to me . So what's on everyday ? "
worry,t the sad thing is
fear,I felt this feeling when one day my landlord's cat had crept under my bed and I couldn't cope with it during an hour and a half.
anger,"` Nevil doesn't work for me , "" he snapped , truly indignant . "
worry,OCHH ive got blister on my foot over the sun today its soo sore  i supose yas dnt care hah just thaught i tweet it anyways
worry,Hope
sadness,
sadness,is still sick
sadness,
sadness,
worry,awarded..
worry,chai latte is not good
neutral, Is there something any need ? 
neutral,The Vogue model Miss Rachel is out  Merh ...
sadness,I`m pretty sure the bunny wouldn`t survive a struggle with Tom
neutral,"Just Returned from Huntsville. Saw Sam Houston`s grave, went to a prison museum and ate chocolate dipped strawberries"
worry,Is asking that everyone please join me in praying for my mom she just got home from the ER and has to go see a heart doctor
anger, Why didn ’ t you just answer my question directly ? Why would Chinese answer questions this way ? I simply asked if you did it or not . It ’ s a very simple question . And Chinese often give the reason before they would give a direct answer . 
worry,
worry,hope
neutral,
fear,I had a cousin whom I loved so much. Unfortunately she passed away suddenly and one time I had a dream in which I was talking to her yet she is dead.
worry,Speaking to my new tweeples.... getting acquainted with them... If you`ve never spoke to me.. Do so now
worry,
neutral,best excited
worry,"great. my mom is pissed at me, so she sent me to the asbestos filled backroom"
fear,A friend and I were going to have a study session together in which we quiz ourselves in biology material. Because I believed I didn't study enough. I feared I would fail.
sadness,it`s raining..
worry,We are both following and I don`t think I have seen him online lol
worry,
worry,
neutral,RIP
neutral,you just got one more!!
worry,anytime..  Why ya gonna be up so late?
neutral,Waiting in line to get gas..94 degrees today
anger,"Bank customers are notoriously slow to shift their business , even if they are miffed . "
anger," I see . That ’ s convenient ! I never understood things like this , such as GMT . I never know what time zone we are in or when to change my clock ! "
sadness,When I am with a friend and we have to leave each other.
neutral,"Yes , sir ? "
neutral,yeah quite a few kids in my school got swine flu.
fear,My 2 year old daughter disappeared in a moment of inattention; I was responsible for her.
neutral,
worry,"I like sunshine, but I do NOT like heat headaches  shame,"
sadness,
neutral, You ’ re right . 
sadness,I received a letter form home telling me that my sister was very sick.
worry,
fear," School . Since I was working part time , I had a difficult time keeping up with class . Now that we have exams coming up , I'm totally freaking out . "
worry,All alone cuz no one will go with me
neutral,Waiting for Raimi`s new horror flick Drag Me To Hell. I`m really excited for this! Too bad it`s not in #amcmain in KC
neutral, I do.We haven't watered them for quite a few days . 
neutral,
sadness, I doubt if I can pass it . 
worry,I`m getting good
sadness,
sadness,lo siento but I dint have enough room =/
worry,
neutral,
worry,Not good!
sadness,SUCKS!!
neutral,perfect
fear,"Once when I crossed the street, and was nearly trampled by a car."
worry,angrrry!
neutral,"Here are some that other tweeple recommend to me: www.audiomicro.com , http://tr.im/gWOy , http://tr.im/gWPx"
worry,ol..I think it somehow help
worry,
sadness,bored..
neutral,SATS  what the its just around the corner.
neutral,
anger,Brother took my money to use for his own purposes.
neutral,I actually meant to type 'end of September' but I was in the middle of a conversation with someone and I cant multitask
worry,
neutral,ShoesShoesShoes.YayYayYay.lol.I
neutral,saaaaaaaaaaaaaad
worry,E3 2009 will be the first time I will not get to see G4TV`s E3 coverage since Comcast moved the  G4 channel from basic cable to premium
anger, I can ’ t believe this ! Why are all these things happening to me ! I can ’ t take it anymore ! Let me out of the car ! 
neutral," Oh , yes . "
sadness,Dosen`t Want To
neutral,not really sure.
worry,Jesse lacey why do you hate me?
neutral,
worry,fail
sadness,disappointed.
sadness,sad
neutral,
neutral,"ooh I`ve got that DVD, never got around to watching it   Is it any good"
sadness,My got my mathematics test's marks and could not believe that it was true.  In the past I would have at least 80% marks.  Was I getting weaker at studies ?  This made me feel that I should not expect too much from going to the university.
worry,
sadness, Yes . I have my wallet stolen . 
worry,sad day*L
worry,"welcome back to school, don`t study too hard, take time off and smell roses too"
worry,
sadness,
neutral,is back from TAFE and has bowling in about an hour
neutral,got it at answered
worry,"Been working on a framework for web based #SL application. Have product registration, server, login, site, security, & comms all done"
worry,Am I the next Blumenthal?!
worry,love
neutral,Don`t count on it
neutral,
neutral,Attach him to  after all mammals mammary glands will produce milk.  Or may be formula?
neutral,Guess I`m on Twitter now!
neutral,_ife not to forget cinnamon!
worry,
worry,
neutral,I can barely focus
neutral,try direct message to me here on twitter
sadness,
anger, And thank you very much for letting me keep it so long . 
sadness,Happy mothers day to everyon
sadness,i neeeeeeeed music suggestions but no one will give them
worry,gutted
neutral,"Who starts a briefing at 7:30 a.m.? People on the East Coast, that`s who."
worry,and of course it happens on the day I got a carwash.
sadness,"When I had to move away from home to study, and I knew that I would not be coming back home for a long time."
neutral,
neutral, Not really . 
fear,A few weeks back my daughter had very high fever and I was scared that it might lead to brain damage or convulsions.
neutral,adsense exchange rate 1 : 47.060 ($ : INR )
neutral,Found out earlier today that I`m going to be an Uncle
worry,
neutral,Its like I had a power nap.
worry,h guilt
neutral,
sadness,"When my grandmother, my second mother died."
sadness,sorry
sadness,"Liza , for her part , had still seemed inconsolable when she first arrived back at her unit on the edge of Salisbury Plain . "
sadness,don`t care about my struggles..
anger,"Barbarossa sent a mandate requiring Milan to give up her claims , but the Milanese consuls tore up the document , and the imperial ambassador fled an enraged crowd . "
worry,i feel unloved
sadness,"Trip to DC next week canceled.  So, no Artomatic or beer with ."
neutral, cool . 
worry,Wish you were doing one in San Francisco!
sadness,` But other people became very sad and worried . 
fear,"I dont know how I can let someone in again, the of a repeat is greater than my fear of being shot... #Rough"
anger,"I was to meet a friend at the bus-stop (he was coming to visit us) and he did not turn up.  After having waited for him for some time     (about an hour) I called him up, to be told that he did not intend to come as he was feeling tired."
worry,
neutral,wish
sadness,
sadness," Oh , that's too bad ! I am sorry to hear that ! "
neutral,stronger
neutral, Why not ? 
sadness,
sadness,
anger,Why do you not respond me?
worry,that sucks
worry,Sorry
sadness,When a good friend with whom I had an intimate relationship made clear that he didn't want to continue in the same way. He choose his girlfriend (also a friend of mine).
worry,
neutral,
neutral,the website is http://tinyurl.com/c7yojg  idk if the place is around ur area..
worry,
sadness,It`s because we`re right
worry,ran out of coffee!
fear,"That is encouraging , yet we are concerned that people are still getting fatter . "
neutral,
sadness,****.
worry,i feel like I`m on house arrest.
sadness, I can't work out this problem . 
sadness,When our dog died.
neutral,@_NewAmerykah_ im alllllllllllllllllllllllllllll about that... a **** woke up late... didnt get my breakfast (wakenbake)
neutral,missed
neutral, Is that all you need ? 
fear,God please shine your grace and mercy on this oddly looking lady that's about to cut my hair. Great Clips!
worry,I don`t know what to wear....
neutral,
worry,e great
worry,hating
boredom,bored...disgusting weather..bored..sooo bored for my last weekend here
neutral, Hey ! 
worry,upset
sadness,cry
neutral,Brownie sundaes at Five and Dumpster. Blood Bros on iTunes. Palm Reader was closed  Fun at the 371 anyway.
neutral, No . 
neutral,
neutral, Thank you . 
worry,
sadness,
worry,Happy Mother`s Day..
neutral,
worry,back on the twit. much hw`s to do... will post something interesting when i think of it
neutral,http://twitpic.com/4jkes -   Here`s your follower count.
sadness,no school today gd  but dont get to see mates n millsy x
sadness,Today I`m lonley girl with a guitar
neutral,
neutral,where u goin
anger,His face was livid and bloody . 
worry,This poor butterfly was dead
sadness,ugh  and its sooo pretty outside..
neutral, Yes . 
neutral, What place ? 
fear,"When I went up the stairs in a high, dark house full of shadows, passed a door and had the feeling that someone or something was behind me, although I knew I was alone."
neutral,good
neutral,Me too!    need some tour dates stat
sadness,I am saddened that the article uses the spurious connection between dialect and poverty as a means of attacking English teaching in this country . 
worry,negative
neutral,"Re: meetings, you were right.  My afternoon has started to fill up"
worry,its aweful
anger,"I was having an argument with my brother on his behavior, then we  started fighting and I got annoyed at him because he started teasing me."
neutral, Yes ... 
neutral,
neutral,hopefully im getting my new windows tomorrow. still using my mums lap... birthday tomorrow eve and facebook doesnt work somehow.
neutral,just checked library website and girl with dragon tattoo is checked out
neutral,Now I have no SKy until Monday
sadness,
sadness,"If I knew it was gonna be this kind of party, I would`ve stuck my **** in the mashed potatoes!"
worry,
neutral,thinking
neutral,hhaha kewl dude!!  but if u dont know & he does have a reason well thats another story mhmhmh...does he?
sadness,I miss you too
sadness,I feel sorry for male singers.  they are never gonna be as great Zac Hanson! Pooorr fellas
worry,stupid
neutral,G`night!
neutral,"Hello , Tom ! "
fear,@LumixGoals who will also increase our wage bill? No sense bringing in anyone. What message does that say to our yound talents? 
neutral,
neutral,
neutral, Yes . 
neutral, That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . 
neutral,Lovely morning to cycle to work but met with a 29 degree office
worry,
fear,I became concerned when I saw my husband becoming a different person . 
neutral,sitting in awe
sadness,best
sadness,Hate being sick
sadness,says everyone was busy
neutral,
worry,n depressing
worry,"It`s this year. Can`t catch it, won`t be in NY till Oct 2010."
neutral,im almost to 300 updates. 200 more to goo
neutral,sure i willl ....
anger,When someone threw a firecracker into my room at 7:00 am in the morning.
worry,
neutral,i like them all i just saw the movie 4.8 i would give it a 5 if Tyler Perry wasn`t in it
worry,sick
neutral,EVERYONE KEEP CHECKING DEMISTYLESOURCE.COM....NEW UPDATE COMING SOON!
anger,"She spoke quietly in Greek to the boy , soothing his annoyance at the turning off of the video . "
worry,Missing
sadness,"Well poop, my guitar lesson was canceled today  I`m so sad. I hope his son feels better soon tho."
neutral,
worry,my day is going way too fast
neutral,thanks
worry,best
neutral,
fear, But there are only two more days until the bidding closes ! 
sadness,"Her voice shook , her face was white with anguish . "
neutral,work work work. my desk is a sea of papers and I am the dinghy being tossed about in its waves.
neutral, No problem . 
sadness," Yes , I kept on typing it until midnight , but it is lost . "
neutral,pictures ross.
sadness,
worry,
neutral, Yeah . 
neutral,I aim to please.
sadness,Tonight in bed when I realised how bad my relationship with my friend was.
sadness,
fear, Not on your life ! I know I'd break my leg 
neutral, What is it ? 
sadness,bad hair day
worry,
fear,English papers are due on Friday. They are returned on Tuesday. This Tuesday I was afraid to go to class and get my paper because I knew it was bad.
fear,Melanie was shocked to see the horror on her aunt 's face . 
neutral,i have perused the #fieldnotes website and it is good.  too bad i must return to work
worry,I still can`t believe it.
neutral,
neutral,"im sitting here super nervous about the chiodos contest, i hope i win!!!!"
anger,"For the Opposition , Sam Galbraith said he was particularly angry that the Government was reneging on the ballot subsidy . "
neutral,dragged
worry,
neutral,Tom are the MITO tour dvd`s still being made cos no where seem to be stealing them and i really want a copy
neutral,have a nice day
worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
anger,"He was coming so fast that she knew he had not seen her and she had to brake sharply , frowning with exasperation . "
fear,The shrieks of terror coming from down the corridor as my flatmate plays are endlessly entertaining.
neutral,**** maaaaannnn.. its holidayzzzzz...
neutral,
worry,
sadness,He looked very sad . 
sadness,A close friend of the family died.
worry,good luck
neutral, I think so . 
neutral,i hate that this keeps happening
anger,
sadness,distorted
neutral,I`ll be back home on Monday.
worry,still no date for bon iver next week
neutral,What ? 
worry,"I want 2 get my nails done today, but according 2 superstition I can`t. Guess I`ll have 2 wait til tomorrow then..  off 2 French!"
worry,
neutral, Oh ... 
worry,
worry,can`t believe
neutral,is having carbonara for dinner made by my mum mom
sadness,that`s depressing
neutral,Hello . 
worry,****.
neutral,
fear," in the air, I’m pushing the gears  turned into  hate turned into "
neutral,
neutral," Bye , Ann ! "
neutral,not good
neutral,Morning twitter
sadness,
fear,Leo demanded as he wrenched back to stare down into her almost terror-stricken face . 
sadness,sick
worry,
neutral,(Raises hand) Oh! Oh! Me too! #caffeine
neutral,
neutral, Thanks . 
neutral,hubz company was organising ...i had to be there!
neutral, I see . 
worry,a massive
worry,"More than welcome...would love to do more physically, but family life doesn`t allow"
neutral,training again today.
neutral,dont want to be though  wish i had slept in more
worry,Wishing I could see N*E*R*D headline @ Fest at DePaul tonight
sadness,wasn`t impressed
worry,Are we going to be able to buy more than 1 ticket online through livenation tomorrow? cant make it to LA
worry,I love you
neutral,
neutral,It`s about to rain!!
anger,"When I received the mark well above requirements for the course I wanted to enter, yet I was not accepted - anger at the injustice of it, because I didn't receive early release of H.S.C. marks."
neutral,it was t4 i think hannah  ****
worry,ht?
neutral,hey there :)
sadness,
fear,"When Tina and the children moved into the School , Cecilia felt both dismay and guilty relief . "
fear,"I think im scared of what the future holds, I was wishing for some things, and now im used to those #drake"
sadness,"Got a package from my parents, without even a small note enclosed."
sadness,fab
sadness,
worry,Seems like 60 min wait time  should I call the wife now
neutral,"Where you at?   No tweeting today? No gardening either, I bet?"
worry,Perfect. Thank you.
anger,Anger with boyfriend's best friend for alienating me and blaming me for personality changes in my boyfriend and changes in my boyfriend's attitude to him and his obvious egoistical attitude himself in doing so. I also lost one of my best friends - his girlfriend.
sadness,"One night a very dear person said: \I hate you\"". Of course it was an impulse and this person didn't feel that about me. The person expressed regret, and everything was settled, but I can't forget."""
neutral,n e uterus u wanna rub??? lol its ok u can tell me
neutral,i wanna join
fear,"One evening, when I had gone fishing with my friends, we heard the roar of a lion near by and had to run for our lives."
sadness,I feel almost empty inside today.  Not a good feeling.
anger,knows its all going to sort itself out
fear,"look, if we can't make the occasional crass sexual joke about serious protests, the terrorists have already won. "
anger,I felt angry when I was told that I had not been selected to go to the University.
worry,Awwww poor biggie...he puked on me in the car. Even though I had the air conditioning on FULL blast...I think it was the heat  He` ok now
neutral, Yes . 
fear,"For all those years you've protected the seed, it's time to become the beautiful flower.~S.C. Paul   "
neutral," A girl he met on holiday in Spain , I think . "
neutral,She didn`t make the challenge
worry,. it should be recoverable.
neutral,Is at work
worry,annoyed
sadness,What do u see in her that i dont have
worry,
sadness,
sadness,I am very sad be
neutral,I was in such euphoria.
sadness,: why is it so cold!?!?!
anger,She shot him a look of exasperation . 
worry,small? we cant choose?
anger,When they put the blame on me when I scored the third goal at the match.
sadness,
neutral, Yes . 
sadness,I felt sad when my dear friend was needed from training school due to his failure in a number of subjects and simply didn't know what he had to do.
sadness,lmao
worry,Great
sadness," No , I didn't . "
worry,Could`ve said hi. We`re off down south tho
worry,but can`t go back to sleep.
fear,Overheard during Thanksgiving dinner: They're going to PROVIDENCE executions murder rate
sadness," I just lost my job , and I am unsure about being able to find another one . "
worry,
neutral,great
worry,
worry,
neutral,
neutral,
neutral," Well , I like playing the violin . "
neutral,stinks
sadness,Irony: Inventor of Ford Mustang can`t keep his car
worry,
neutral,There is one million people @ the DMV today.....
sadness,have a good time!! Sadly that means I`m probably gonna have rain
neutral,ut i aint that rich   just buy some more copies urself
neutral, A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . 
neutral,
boredom,"is really, really bored..."
neutral,Can`t sleep
sadness,"At the funeral of a friend about 20 years old, who was killed in a hit-and-run motorcycle accident."
worry,"the $60,000 i spent going to college was well spent."
sadness,goes any chance of relaxation!!
neutral, What's up ? 
worry,stupid job
fear,"Not so much a merciful touch , more likely a measure to prevent suddenly terror-stricken passengers from attempting to escape into the crowd . "
neutral,gmail
worry,Hopefully
neutral,i follow him now
fear,When I thought the house was on fire at night.
worry,
neutral, Of course . 
neutral,
worry,
sadness,
sadness,When a close friend of mine collapsed and passed away and the illness was not known.
anger, Are you kidding me ? 
sadness,Still stupidly sick...cancelled our Philly trip. Sad day
neutral,nice
worry,
neutral,
worry,I`ll guess I will see everyone after the weekend  Gunna be having major Tweet cravings the entire time!!...
anger,"I went to the dining hall and found that the cooks were cleaning the plates and there was no food for me, and the blue birds  (security guards) were busy eating the food that was supposed to be for me."
neutral,"Hey did you get any more info about your graduation? And I think my mom`s gonna let me go to CP, if you guys still wanna go!"
neutral," Oh , I see . "
sadness,
worry,YES. and then they should in non test conditions!
worry,. Thank you
fear,Continous fear of a nuclear war.
worry,
worry,
neutral," Ok , then . "
sadness,in all honesty...pain   blech
neutral,
fear,"When I was going home for my holiday, I almost drowned in the Zambezi river."
worry,ly bette
sadness,. That`s sad.
sadness,About to go to my last theater lunch  im gonna cry.
worry,_85 Aaaargh help -it`s a conspiracy LOL! How are you today Lizzi?
neutral,Ugggh school is so boring!
sadness,INconvenient...
neutral,thanks! Will check next time I`m in Target. It`s over an hour away
sadness,I`ve just realised. I won`t be able to talk to any of you crazy cats on Sunday. Is sad now.
worry,I can`t believe tour is almost over
worry,saddens
worry,yeps...just for today though  I badly wanted to do some geek-shopping...
sadness,
neutral, 350 yuan . 
fear,My husband suddenly fell ill seriously and during the medical examinations we did not know what would follow.
neutral,Sonny you are a mystery man!  I`m into it thoughh.
sadness, I'm afraid I'm going to the gym for a workout . 
anger,"I was on a farm with a few friends and during the talk I discovered that a friend of mine, was being betrayed by her boyfriend and a 3rd friend of ours."
worry,rarely enough
neutral,It`s cause you give me a reason to assume.
neutral,good morning
anger,The insurance cover is designed to protect intermediaries against suits for damages brought by irate customers . 
sadness,just tired and over worked
neutral,worst
neutral,Mornin`
sadness, I know that . You don't have to tell me that . That's my problem . I know I have the right to work for the university . That's legal.But they don't have a job for me . And it's illegal for me to get a job elsewhere . 
sadness,When summer is over and I have to leave the town where I spend my holidays.
neutral,Two more tweets to go for 2345 tweets
worry,bad
sadness,
anger,My grandmother's brother had taken active part in the resistance movement. He had been in prison many times and there he lost his health. He became an invalid. When we phoned to First Aid the nurse on duty behaved quite unkindly when she understood how old he was (79).
sadness,
fear,The day my parents were involved in a car accident and had to be operated  and before the operation the doctor said that it was mater of life or death.
worry,Saturday Night Live in 3 minutes  Jimmy should still be on it.
sadness,
sadness,
fear,I'm afraid of not being able to go to the school I want because of suffering grades.
neutral,hanging with the cousin
neutral,memorize
neutral,
neutral,Boo.
anger, Don't be cross !  
fear,I helped someone to do something and was found out.
neutral, Fair enough . Give it to me straight . Did she bully you into this ? 
neutral, Yes . 
sadness,"Being away from a very close friend, I was away from Finland for a year as an exchange student."
sadness,
worry,i wud do but im at work   srry
worry,hurt..
anger,"So who does he think he is , anyway , I can't believe the way that my boss has been ordering everyone around lately , I mean , it's now like he is the CEO , or anything . "
neutral,
sadness,...you are kickable.
neutral,think 2 to start off with but a house that can fit 4 - or we may go the whole hog and get 4.... not sure yet
sadness,
sadness,When my father died.
worry,
worry,class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I`ll forget -_-
worry,Just ripping here.  That ad buy I was going to speak w/you about looks to be on hold for a bit. Company changed hands. :-/
fear,"of the Unknown #changes, replace #stability and #familiarity with ambiguity and# uncertainty. #JO #Amman #ReformJO #Jordan"
neutral, Not now . 
sadness,My anguish must have shown in my face and in my voice . 
sadness,Legs are hurting because I was standing up all day.
anger, Don ’ t you know our movie starts at seven ? And we were going to meet at the theater at five to seven . Then it doesn ’ t make sense to meet at the apartment . 
sadness, I'd like to . But I'm not myself today . 
sadness,
worry,haha it`s great. but i slept horribly last night.
neutral, no problem . 
neutral,so no record.
sadness,awww too bad
neutral,oh you and  had free drinks?! thats wasup..Im givin up drinkin for a lil bit
sadness,About two years ago my girlfriend suggested that we separate.  This really gave me a shock as I had never thought that she would say such things.  The reason she gave me was that we were not suited for each other.
sadness,shower time
neutral,
neutral,....if you see Christoph please tell his lunch was packed this morning and he left it in the fridge
neutral,"sabi ko nga lighting up is hazardous to your health, but got shoes for it  thanks love"
sadness,I`m banned by Court Order
worry,
neutral,sorry
neutral,
sadness,
neutral,
neutral," C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box . "
neutral, It'll begin at nine o'clock sharp . 
worry,Pwnd from all sides
neutral,you forgot your fans too!  haha
neutral,
sadness,"My dog of 16 and 1/2 years - \Lord Grey\"" died in his sleep - His death caused me more and deeper sadness than I thought."""
worry,irked
sadness,"simple greetings from unexpected people can actually lighten our mood,"
neutral, Of course . 
sadness,
sadness,thanks.  Sadly the streamline top II is sold out. Streamline trunk II is available in my size but that only gets me halfway.
neutral, That makes a lot of sense . Does the TV work well ? 
fear,"She felt disquieted at the lack of interest the girl had shown -- anything might happen in this sort of house , she told herself indignantly . "
neutral,"ah, ****,"
sadness,
worry,
neutral, Thank you . 
sadness, I am sorry . There is a speed limit . 
neutral," Nice to meet you , Lean . My name is Alike . I'm from Japan . "
sadness,"I felt very lonely, was very dissatisfied with myself when I realised that I could feel very jealous of other women because of my boyfriend."
anger,The surname of my brother was different from ours.  He often grinned at home and provoked others for the pleasure of it.  This made me angry.
worry,
worry,I want to panic
worry,
sadness,
worry,
neutral,Through the Fire and Flames - Dragonforce
neutral,"talkshow with Larry, then Cage?"
neutral,just downloaded more music and videos on my ipod.
worry,headache
neutral,I Sing Everytime
neutral,
boredom,
anger, How many chances should I give you ? I've given up on you ! 
neutral,
sadness,Chroma Key coolness ... When are the cumulus seminars going online couldn`t see the live feed here
worry,
worry,down
neutral,
neutral,Rumbo a bachilleres
worry,"bloody Feds,"
neutral,Thanks
worry,Foto!
neutral,"i got one too, but it was on a usb key without the fancy packaging"
fear,When we could not land our plane and we knew that the fuel was running out.  Bad weather had already frightened us.
worry,Sorry to hear that.  Keep the faith though.  I might not be as bad as you think
anger,"Oh , the food here really is bad . My soup was cold and meat , ur ... it was like leather . "
neutral," No , what ? "
neutral,
worry,
neutral,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?
fear,Being threatened by another person.
neutral,
neutral, Like what ? 
sadness,Good to know
neutral,watching  on SNL
neutral, No way ! 
worry,Great start to the weekend.
neutral,
sadness,I always feel sickly when I wake up.  Well got a busy day ahead of me! Yippeee
worry,
neutral,"doing pretty well,"
anger,"When a person the same age as me insisted that I call him \Mister\"".  I refused to succumb, but he persisted and I got angry as he had belittled me."""
sadness,"When I was 9 years old, I got a cat, but after 3 days he died. I was very sad, because I had nursed him and taken him to the veterinary's - but in vain. Although I had had him only for a short time I had liked him very much."
fear,President Truman and his advisers were anxious over Sino-Soviet relations and wondered whether American forces could take the port of Dairen and thus prevent the Soviet Union from occupying the Liaotung peninsula of south Manchuria . 
neutral,Good morning/afternoon/night to all.....studying as usual!
worry,
neutral,
neutral,
sadness,
anger, I was late for work because of them . 
fear,As a child - stepping on a rusty nail - being told that I might get tetanus.
sadness,
worry,Their coming tomorrow morning and it`s sort of an impossible task. I just need to clear some space. Thanks though
sadness,"yes i love it  its just a little bit complicated,"
neutral,"My Twitter was born on 12 Feb 09. Today, at this point of time, 4 May 09, 3:56pm (GMT+8), I have 805 tweets (including this one)."
neutral,
neutral,:   whatcha reading?
neutral,"Unfortunately,"
neutral, Now what ? 
worry,blacklisted by IT here..
neutral,"good,"
neutral,
neutral,
neutral,"Actually, by the time i get there, the train would have arrived..."
neutral,
neutral,Is warm soy milk and amazake with cocoa powder and agave
worry,"I was so upset,"
anger," That's fine , because if I leave , then your rules won't matter . "
neutral,
fear,"After going through a glass door, I sustained a number of serious cuts which were gaping open."
neutral,
